Semana,Fecha,Día,Hora inicio,Hora fin,Especialidad,Actividad,Docente/Responsable,Aula,Tipo,Observaciones
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Anestesiologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Cirugia General,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Urologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Ortopedia y Traumatologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Dermatologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,"Cirugia Plastica, Reconstructiva y Estetica",Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Pediatria,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Ginecologia y Obstetricia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Medicina de Urgencias,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Medicina Interna,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Neurologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Psiquiatria,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Radiologia e imagenes Diagnosticas,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Oftalmologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Cardiologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Anestesia Cardiovascular y Toracica,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Cirugia Cardiovascular,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Cardiologia Intervencionista y Hemodinamia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Electrofisiologia Cardiaca,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Medicina Critica y Cuidado Intensivo Adulto,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Medicina Critica y Cuidado Intensivo Pediatrico,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Dermatopatologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Mastologia,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
SEMANA 1,LUNES 1 JUNIO,Lunes,7:00,9:30,Infectologia Pediatrica,Bienvenida y Presentacion,Grupo facultad de Ciencias de la Salud,Aula Maxima,Académico,
